question_id,method,question,category,expected_decision,actual_decision,correctness_score,faithfulness_score,hallucination,over_refusal,notes,reviewer,review_status
F-CM-02,vector_rag,精确率和召回率有什么区别？,comparison,pass,pass,2,1,0,0,keyword_coverage=2/2; evidence_score=0.0000; citation_present=True. Correctness: 覆盖 gold 关键点 2/2。 Faithfulness: 有引用，但缺少足够结构证据，需人工核对引用与结论的一致性。,Codex-assisted preliminary review,preliminary_pending_user_confirmation
F-CM-03,vector_rag,均方误差和 R2 分数有什么区别？,comparison,pass,pass,2,1,0,0,keyword_coverage=2/2; evidence_score=0.0000; citation_present=True. Correctness: 覆盖 gold 关键点 2/2。 Faithfulness: 有引用，但缺少足够结构证据，需人工核对引用与结论的一致性。,Codex-assisted preliminary review,preliminary_pending_user_confirmation
F-CM-04,vector_rag,Ridge 回归和 Lasso 回归有什么区别？,comparison,pass,pass,2,1,0,0,keyword_coverage=2/2; evidence_score=0.0000; citation_present=True. Correctness: 覆盖 gold 关键点 2/2。 Faithfulness: 有引用，但缺少足够结构证据，需人工核对引用与结论的一致性。,Codex-assisted preliminary review,preliminary_pending_user_confirmation
F-CM-05,vector_rag,KMeans 和 DBSCAN 有什么区别？,comparison,pass,pass,2,1,0,0,keyword_coverage=2/2; evidence_score=0.0000; citation_present=True. Correctness: 覆盖 gold 关键点 2/2。 Faithfulness: 有引用，但缺少足够结构证据，需人工核对引用与结论的一致性。,Codex-assisted preliminary review,preliminary_pending_user_confirmation
F-PC-01,vector_rag,随机森林为什么更稳定？,principle_pros_cons,pass,pass,0,1,0,0,keyword_coverage=0/2; evidence_score=0.0000; citation_present=True. Correctness: 未覆盖 gold 关键点，回答与问题目标不匹配。 Faithfulness: 有引用，但缺少足够结构证据，需人工核对引用与结论的一致性。,Codex-assisted preliminary review,preliminary_pending_user_confirmation
F-PC-02,vector_rag,决策树有什么局限？,principle_pros_cons,pass,pass,0,1,0,0,keyword_coverage=0/1; evidence_score=0.0000; citation_present=True. Correctness: 未覆盖 gold 关键点，回答与问题目标不匹配。 Faithfulness: 有引用，但缺少足够结构证据，需人工核对引用与结论的一致性。,Codex-assisted preliminary review,preliminary_pending_user_confirmation
F-PC-03,vector_rag,支持向量分类为什么通常需要特征缩放？,principle_pros_cons,pass,pass,0,1,0,0,keyword_coverage=0/1; evidence_score=0.0000; citation_present=True. Correctness: 未覆盖 gold 关键点，回答与问题目标不匹配。 Faithfulness: 有引用，但缺少足够结构证据，需人工核对引用与结论的一致性。,Codex-assisted preliminary review,preliminary_pending_user_confirmation
F-PC-04,vector_rag,DBSCAN 在噪声数据上有什么优势？,principle_pros_cons,pass,pass,0,1,0,0,keyword_coverage=0/1; evidence_score=0.0000; citation_present=True. Correctness: 未覆盖 gold 关键点，回答与问题目标不匹配。 Faithfulness: 有引用，但缺少足够结构证据，需人工核对引用与结论的一致性。,Codex-assisted preliminary review,preliminary_pending_user_confirmation
F-PC-05,vector_rag,梯度提升有什么局限？,principle_pros_cons,pass,pass,0,1,0,0,keyword_coverage=0/1; evidence_score=0.0000; citation_present=True. Correctness: 未覆盖 gold 关键点，回答与问题目标不匹配。 Faithfulness: 有引用，但缺少足够结构证据，需人工核对引用与结论的一致性。,Codex-assisted preliminary review,preliminary_pending_user_confirmation
F-MS-01,vector_rag,类别不平衡时应该优先关注哪些指标？,metric_selection,pass,pass,0,1,0,0,keyword_coverage=0/2; evidence_score=0.0000; citation_present=True. Correctness: 未覆盖 gold 关键点，回答与问题目标不匹配。 Faithfulness: 有引用，但缺少足够结构证据，需人工核对引用与结论的一致性。,Codex-assisted preliminary review,preliminary_pending_user_confirmation
F-MS-02,vector_rag,回归任务通常可以用哪些指标评估？,metric_selection,pass,pass,0,1,0,0,keyword_coverage=0/2; evidence_score=0.0000; citation_present=True. Correctness: 未覆盖 gold 关键点，回答与问题目标不匹配。 Faithfulness: 有引用，但缺少足够结构证据，需人工核对引用与结论的一致性。,Codex-assisted preliminary review,preliminary_pending_user_confirmation
F-NA-01,vector_rag,如何烤蛋糕？,no_answer,refuse,pass,2,0,0,0,keyword_coverage=0/0; evidence_score=0.0000; citation_present=False. Correctness: 文本明确拒答，内容层面正确；需与 actual_decision 分开记录。 Faithfulness: 回答没有绑定文本证据。,Codex-assisted preliminary review,preliminary_pending_user_confirmation
F-NA-02,vector_rag,XGBoost 如何处理缺失值？,no_answer,refuse,pass,0,1,0,0,keyword_coverage=0/0; evidence_score=0.0000; citation_present=True. Correctness: 未拒答且未直接处理知识库外、属性缺失或错误前提问题。 Faithfulness: 引用存在但回答没有满足无答案/错误前提的拒答要求，证据与问题目标不完全匹配。,Codex-assisted preliminary review,preliminary_pending_user_confirmation
F-NA-03,vector_rag,随机森林的学习率是多少？,no_answer,refuse,pass,0,1,0,0,keyword_coverage=0/0; evidence_score=0.0000; citation_present=True. Correctness: 未拒答且未直接处理知识库外、属性缺失或错误前提问题。 Faithfulness: 引用存在但回答没有满足无答案/错误前提的拒答要求，证据与问题目标不完全匹配。,Codex-assisted preliminary review,preliminary_pending_user_confirmation
F-NA-04,vector_rag,KMeans 是监督分类算法吗？,no_answer,refuse,pass,1,1,0,0,keyword_coverage=0/0; evidence_score=0.0000; citation_present=True. Correctness: 回答给出 KMeans 属于聚类的纠正性信息，但未明确否定监督分类前提。 Faithfulness: 引用存在但回答没有满足无答案/错误前提的拒答要求，证据与问题目标不完全匹配。,Codex-assisted preliminary review,preliminary_pending_user_confirmation
F-SH-01,graph_only,随机森林属于什么模型族？,single_hop,pass,pass,2,2,0,0,keyword_coverage=1/1; evidence_score=0.0000; citation_present=True. Correctness: 覆盖 gold 关键点 1/1。 Faithfulness: 关键陈述绑定图路径或有效引用。,Codex-assisted preliminary review,preliminary_pending_user_confirmation
F-SH-02,graph_only,支持向量分类属于什么模型族？,single_hop,pass,pass,2,2,0,0,keyword_coverage=1/1; evidence_score=0.0000; citation_present=True. Correctness: 覆盖 gold 关键点 1/1。 Faithfulness: 关键陈述绑定图路径或有效引用。,Codex-assisted preliminary review,preliminary_pending_user_confirmation
F-SH-03,graph_only,KMeans 解决什么任务？,single_hop,pass,pass,2,2,0,0,keyword_coverage=1/1; evidence_score=0.0000; citation_present=True. Correctness: 覆盖 gold 关键点 1/1。 Faithfulness: 关键陈述绑定图路径或有效引用。,Codex-assisted preliminary review,preliminary_pending_user_confirmation
F-SH-04,graph_only,岭回归使用什么技术？,single_hop,pass,pass,0,2,0,0,keyword_coverage=0/1; evidence_score=0.0000; citation_present=True. Correctness: 未覆盖 gold 关键点，回答与问题目标不匹配。 Faithfulness: 关键陈述绑定图路径或有效引用。,Codex-assisted preliminary review,preliminary_pending_user_confirmation
F-SH-05,graph_only,支持向量分类需要什么预处理技术？,single_hop,pass,pass,2,2,0,0,keyword_coverage=1/1; evidence_score=0.0000; citation_present=True. Correctness: 覆盖 gold 关键点 1/1。 Faithfulness: 关键陈述绑定图路径或有效引用。,Codex-assisted preliminary review,preliminary_pending_user_confirmation
F-SH-06,graph_only,决策树可用于哪些监督学习任务？,single_hop,pass,pass,2,2,0,0,keyword_coverage=2/2; evidence_score=0.0000; citation_present=True. Correctness: 覆盖 gold 关键点 2/2。 Faithfulness: 关键陈述绑定图路径或有效引用。,Codex-assisted preliminary review,preliminary_pending_user_confirmation
F-SH-07,graph_only,逻辑回归可以用什么指标评估？,single_hop,pass,pass,2,2,0,0,keyword_coverage=1/1; evidence_score=0.0000; citation_present=True. Correctness: 覆盖 gold 关键点 1/1。 Faithfulness: 关键陈述绑定图路径或有效引用。,Codex-assisted preliminary review,preliminary_pending_user_confirmation
F-SH-08,graph_only,随机森林是否使用 Bootstrap 抽样？,single_hop,pass,pass,2,2,0,0,keyword_coverage=1/1; evidence_score=0.0000; citation_present=True. Correctness: 覆盖 gold 关键点 1/1。 Faithfulness: 关键陈述绑定图路径或有效引用。,Codex-assisted preliminary review,preliminary_pending_user_confirmation
F-MH-01,graph_only,随机森林通过决策树属于哪个模型族？,multi_hop,pass,pass,0,2,0,0,keyword_coverage=0/2; evidence_score=0.0000; citation_present=True. Correctness: 未覆盖 gold 关键点，回答与问题目标不匹配。 Faithfulness: 关键陈述绑定图路径或有效引用。,Codex-assisted preliminary review,preliminary_pending_user_confirmation
F-MH-02,graph_only,岭回归使用的正则化属于什么概念？,multi_hop,pass,pass,2,2,0,0,keyword_coverage=1/1; evidence_score=0.0000; citation_present=True. Correctness: 覆盖 gold 关键点 1/1。 Faithfulness: 关键陈述绑定图路径或有效引用。,Codex-assisted preliminary review,preliminary_pending_user_confirmation
F-MH-03,graph_only,支持向量分类需要的特征缩放与什么问题有关？,multi_hop,pass,pass,1,2,0,0,keyword_coverage=1/2; evidence_score=0.0000; citation_present=True. Correctness: 仅覆盖部分 gold 关键点 1/2。 Faithfulness: 关键陈述绑定图路径或有效引用。,Codex-assisted preliminary review,preliminary_pending_user_confirmation
F-MH-04,graph_only,随机森林使用的 Bootstrap 抽样有什么优势？,multi_hop,pass,pass,1,2,0,0,keyword_coverage=1/2; evidence_score=0.0000; citation_present=True. Correctness: 仅覆盖部分 gold 关键点 1/2。 Faithfulness: 关键陈述绑定图路径或有效引用。,Codex-assisted preliminary review,preliminary_pending_user_confirmation
F-MH-05,graph_only,剪枝可以缓解什么风险？,multi_hop,pass,pass,2,2,0,0,keyword_coverage=1/1; evidence_score=0.0000; citation_present=True. Correctness: 覆盖 gold 关键点 1/1。 Faithfulness: 关键陈述绑定图路径或有效引用。,Codex-assisted preliminary review,preliminary_pending_user_confirmation
F-MH-06,graph_only,KMeans 使用特征缩放与聚类任务有什么关系？,multi_hop,pass,pass,2,2,0,0,keyword_coverage=2/2; evidence_score=0.0000; citation_present=True. Correctness: 覆盖 gold 关键点 2/2。 Faithfulness: 关键陈述绑定图路径或有效引用。,Codex-assisted preliminary review,preliminary_pending_user_confirmation
F-MH-07,graph_only,逻辑回归与正则化、ROC AUC 之间有哪些关系？,multi_hop,pass,pass,1,2,0,0,keyword_coverage=1/2; evidence_score=0.0000; citation_present=True. Correctness: 仅覆盖部分 gold 关键点 1/2。 Faithfulness: 关键陈述绑定图路径或有效引用。,Codex-assisted preliminary review,preliminary_pending_user_confirmation
F-MH-08,graph_only,决策树的可解释性与过拟合风险如何关联？,multi_hop,pass,pass,1,2,0,0,keyword_coverage=1/2; evidence_score=0.0000; citation_present=True. Correctness: 仅覆盖部分 gold 关键点 1/2。 Faithfulness: 关键陈述绑定图路径或有效引用。,Codex-assisted preliminary review,preliminary_pending_user_confirmation
F-MH-09,graph_only,DBSCAN 与聚类方法和聚类任务的关系是什么？,multi_hop,pass,pass,2,2,0,0,keyword_coverage=2/2; evidence_score=0.0000; citation_present=True. Correctness: 覆盖 gold 关键点 2/2。 Faithfulness: 关键陈述绑定图路径或有效引用。,Codex-assisted preliminary review,preliminary_pending_user_confirmation
F-DF-01,graph_only,什么是线性回归？,definition,pass,pass,2,2,0,0,keyword_coverage=2/2; evidence_score=0.0000; citation_present=True. Correctness: 覆盖 gold 关键点 2/2。 Faithfulness: 关键陈述绑定图路径或有效引用。,Codex-assisted preliminary review,preliminary_pending_user_confirmation
F-DF-02,graph_only,什么是 Ridge 回归？,definition,pass,pass,2,2,0,0,keyword_coverage=2/2; evidence_score=0.0000; citation_present=True. Correctness: 覆盖 gold 关键点 2/2。 Faithfulness: 关键陈述绑定图路径或有效引用。,Codex-assisted preliminary review,preliminary_pending_user_confirmation
F-DF-03,graph_only,什么是 Lasso 回归？,definition,pass,pass,2,2,0,0,keyword_coverage=2/2; evidence_score=0.0000; citation_present=True. Correctness: 覆盖 gold 关键点 2/2。 Faithfulness: 关键陈述绑定图路径或有效引用。,Codex-assisted preliminary review,preliminary_pending_user_confirmation
F-DF-04,graph_only,什么是逻辑回归？,definition,pass,pass,2,2,0,0,keyword_coverage=2/2; evidence_score=0.0000; citation_present=True. Correctness: 覆盖 gold 关键点 2/2。 Faithfulness: 关键陈述绑定图路径或有效引用。,Codex-assisted preliminary review,preliminary_pending_user_confirmation
F-DF-05,graph_only,什么是支持向量机分类？,definition,pass,pass,2,2,0,0,keyword_coverage=2/2; evidence_score=0.0000; citation_present=True. Correctness: 覆盖 gold 关键点 2/2。 Faithfulness: 关键陈述绑定图路径或有效引用。,Codex-assisted preliminary review,preliminary_pending_user_confirmation
F-DF-06,graph_only,什么是决策树？,definition,pass,pass,2,2,0,0,keyword_coverage=2/2; evidence_score=0.0000; citation_present=True. Correctness: 覆盖 gold 关键点 2/2。 Faithfulness: 关键陈述绑定图路径或有效引用。,Codex-assisted preliminary review,preliminary_pending_user_confirmation
F-DF-07,graph_only,什么是 KMeans？,definition,pass,pass,2,2,0,0,keyword_coverage=2/2; evidence_score=0.0000; citation_present=True. Correctness: 覆盖 gold 关键点 2/2。 Faithfulness: 关键陈述绑定图路径或有效引用。,Codex-assisted preliminary review,preliminary_pending_user_confirmation
F-CM-01,graph_only,Bagging 和 AdaBoost 有什么区别？,comparison,pass,pass,2,2,0,0,keyword_coverage=2/2; evidence_score=0.0000; citation_present=True. Correctness: 覆盖 gold 关键点 2/2。 Faithfulness: 关键陈述绑定图路径或有效引用。,Codex-assisted preliminary review,preliminary_pending_user_confirmation
F-CM-02,graph_only,精确率和召回率有什么区别？,comparison,pass,pass,2,2,0,0,keyword_coverage=2/2; evidence_score=0.0000; citation_present=True. Correctness: 覆盖 gold 关键点 2/2。 Faithfulness: 关键陈述绑定图路径或有效引用。,Codex-assisted preliminary review,preliminary_pending_user_confirmation
F-CM-03,graph_only,均方误差和 R2 分数有什么区别？,comparison,pass,pass,2,2,0,0,keyword_coverage=2/2; evidence_score=0.0000; citation_present=True. Correctness: 覆盖 gold 关键点 2/2。 Faithfulness: 关键陈述绑定图路径或有效引用。,Codex-assisted preliminary review,preliminary_pending_user_confirmation
F-CM-04,graph_only,Ridge 回归和 Lasso 回归有什么区别？,comparison,pass,pass,2,2,0,0,keyword_coverage=2/2; evidence_score=0.0000; citation_present=True. Correctness: 覆盖 gold 关键点 2/2。 Faithfulness: 关键陈述绑定图路径或有效引用。,Codex-assisted preliminary review,preliminary_pending_user_confirmation
F-CM-05,graph_only,KMeans 和 DBSCAN 有什么区别？,comparison,pass,pass,2,2,0,0,keyword_coverage=2/2; evidence_score=0.0000; citation_present=True. Correctness: 覆盖 gold 关键点 2/2。 Faithfulness: 关键陈述绑定图路径或有效引用。,Codex-assisted preliminary review,preliminary_pending_user_confirmation
F-PC-01,graph_only,随机森林为什么更稳定？,principle_pros_cons,pass,pass,2,2,0,0,keyword_coverage=2/2; evidence_score=0.0000; citation_present=True. Correctness: 覆盖 gold 关键点 2/2。 Faithfulness: 关键陈述绑定图路径或有效引用。,Codex-assisted preliminary review,preliminary_pending_user_confirmation
F-PC-02,graph_only,决策树有什么局限？,principle_pros_cons,pass,pass,2,2,0,0,keyword_coverage=1/1; evidence_score=0.0000; citation_present=True. Correctness: 覆盖 gold 关键点 1/1。 Faithfulness: 关键陈述绑定图路径或有效引用。,Codex-assisted preliminary review,preliminary_pending_user_confirmation
F-PC-03,graph_only,支持向量分类为什么通常需要特征缩放？,principle_pros_cons,pass,pass,2,2,0,0,keyword_coverage=1/1; evidence_score=0.0000; citation_present=True. Correctness: 覆盖 gold 关键点 1/1。 Faithfulness: 关键陈述绑定图路径或有效引用。,Codex-assisted preliminary review,preliminary_pending_user_confirmation
F-PC-04,graph_only,DBSCAN 在噪声数据上有什么优势？,principle_pros_cons,pass,pass,2,2,0,0,keyword_coverage=1/1; evidence_score=0.0000; citation_present=True. Correctness: 覆盖 gold 关键点 1/1。 Faithfulness: 关键陈述绑定图路径或有效引用。,Codex-assisted preliminary review,preliminary_pending_user_confirmation
F-PC-05,graph_only,梯度提升有什么局限？,principle_pros_cons,pass,pass,2,2,0,0,keyword_coverage=1/1; evidence_score=0.0000; citation_present=True. Correctness: 覆盖 gold 关键点 1/1。 Faithfulness: 关键陈述绑定图路径或有效引用。,Codex-assisted preliminary review,preliminary_pending_user_confirmation
F-MS-01,graph_only,类别不平衡时应该优先关注哪些指标？,metric_selection,pass,pass,2,2,0,0,keyword_coverage=2/2; evidence_score=0.0000; citation_present=True. Correctness: 覆盖 gold 关键点 2/2。 Faithfulness: 关键陈述绑定图路径或有效引用。,Codex-assisted preliminary review,preliminary_pending_user_confirmation
F-MS-02,graph_only,回归任务通常可以用哪些指标评估？,metric_selection,pass,pass,0,2,0,0,keyword_coverage=0/2; evidence_score=0.0000; citation_present=True. Correctness: 未覆盖 gold 关键点，回答与问题目标不匹配。 Faithfulness: 关键陈述绑定图路径或有效引用。,Codex-assisted preliminary review,preliminary_pending_user_confirmation
F-NA-01,graph_only,如何烤蛋糕？,no_answer,refuse,pass,2,0,0,0,keyword_coverage=0/0; evidence_score=0.0000; citation_present=False. Correctness: 文本明确拒答，内容层面正确；需与 actual_decision 分开记录。 Faithfulness: 回答没有绑定文本证据。,Codex-assisted preliminary review,preliminary_pending_user_confirmation
F-NA-02,graph_only,XGBoost 如何处理缺失值？,no_answer,refuse,pass,2,0,0,0,keyword_coverage=0/0; evidence_score=0.0000; citation_present=False. Correctness: 文本明确拒答，内容层面正确；需与 actual_decision 分开记录。 Faithfulness: 回答没有绑定文本证据。,Codex-assisted preliminary review,preliminary_pending_user_confirmation
F-NA-03,graph_only,随机森林的学习率是多少？,no_answer,refuse,pass,0,1,0,0,keyword_coverage=0/0; evidence_score=0.0000; citation_present=True. Correctness: 未拒答且未直接处理知识库外、属性缺失或错误前提问题。 Faithfulness: 引用存在但回答没有满足无答案/错误前提的拒答要求，证据与问题目标不完全匹配。,Codex-assisted preliminary review,preliminary_pending_user_confirmation
F-NA-04,graph_only,KMeans 是监督分类算法吗？,no_answer,refuse,pass,1,1,0,0,keyword_coverage=0/0; evidence_score=0.0000; citation_present=True. Correctness: 回答给出 KMeans 属于聚类的纠正性信息，但未明确否定监督分类前提。 Faithfulness: 引用存在但回答没有满足无答案/错误前提的拒答要求，证据与问题目标不完全匹配。,Codex-assisted preliminary review,preliminary_pending_user_confirmation
F-SH-01,proposed,随机森林属于什么模型族？,single_hop,pass,pass,2,2,0,0,keyword_coverage=1/1; evidence_score=1.0000; citation_present=True. Correctness: 覆盖 gold 关键点 1/1。 Faithfulness: 关键陈述绑定图路径或有效引用。,Codex-assisted preliminary review,preliminary_pending_user_confirmation
F-SH-02,proposed,支持向量分类属于什么模型族？,single_hop,pass,pass,2,2,0,0,keyword_coverage=1/1; evidence_score=1.0000; citation_present=True. Correctness: 覆盖 gold 关键点 1/1。 Faithfulness: 关键陈述绑定图路径或有效引用。,Codex-assisted preliminary review,preliminary_pending_user_confirmation
F-SH-03,proposed,KMeans 解决什么任务？,single_hop,pass,pass,2,2,0,0,keyword_coverage=1/1; evidence_score=1.0000; citation_present=True. Correctness: 覆盖 gold 关键点 1/1。 Faithfulness: 关键陈述绑定图路径或有效引用。,Codex-assisted preliminary review,preliminary_pending_user_confirmation
