question_id,method,question,category,expected_decision,actual_decision,correctness_score,faithfulness_score,hallucination,over_refusal,notes,reviewer
F-SH-01,no_verifier,随机森林属于什么模型族？,single_hop,pass,pass,,,,,,
F-SH-02,no_verifier,支持向量分类属于什么模型族？,single_hop,pass,pass,,,,,,
F-SH-03,no_verifier,KMeans 解决什么任务？,single_hop,pass,pass,,,,,,
F-SH-04,no_verifier,岭回归使用什么技术？,single_hop,pass,pass,,,,,,
F-SH-05,no_verifier,支持向量分类需要什么预处理技术？,single_hop,pass,pass,,,,,,
F-SH-06,no_verifier,决策树可用于哪些监督学习任务？,single_hop,pass,pass,,,,,,
F-SH-07,no_verifier,逻辑回归可以用什么指标评估？,single_hop,pass,pass,,,,,,
F-SH-08,no_verifier,随机森林是否使用 Bootstrap 抽样？,single_hop,pass,pass,,,,,,
F-MH-01,no_verifier,随机森林通过决策树属于哪个模型族？,multi_hop,pass,pass,,,,,,
F-MH-02,no_verifier,岭回归使用的正则化属于什么概念？,multi_hop,pass,pass,,,,,,
F-MH-03,no_verifier,支持向量分类需要的特征缩放与什么问题有关？,multi_hop,pass,pass,,,,,,
F-MH-04,no_verifier,随机森林使用的 Bootstrap 抽样有什么优势？,multi_hop,pass,pass,,,,,,
F-MH-05,no_verifier,剪枝可以缓解什么风险？,multi_hop,pass,pass,,,,,,
F-MH-06,no_verifier,KMeans 使用特征缩放与聚类任务有什么关系？,multi_hop,pass,pass,,,,,,
F-MH-07,no_verifier,逻辑回归与正则化、ROC AUC 之间有哪些关系？,multi_hop,pass,pass,,,,,,
F-MH-08,no_verifier,决策树的可解释性与过拟合风险如何关联？,multi_hop,pass,pass,,,,,,
F-MH-09,no_verifier,DBSCAN 与聚类方法和聚类任务的关系是什么？,multi_hop,pass,pass,,,,,,
F-DF-01,no_verifier,什么是线性回归？,definition,pass,pass,,,,,,
F-DF-02,no_verifier,什么是 Ridge 回归？,definition,pass,pass,,,,,,
F-DF-03,no_verifier,什么是 Lasso 回归？,definition,pass,pass,,,,,,
F-DF-04,no_verifier,什么是逻辑回归？,definition,pass,pass,,,,,,
F-DF-05,no_verifier,什么是支持向量机分类？,definition,pass,pass,,,,,,
F-DF-06,no_verifier,什么是决策树？,definition,pass,pass,,,,,,
F-DF-07,no_verifier,什么是 KMeans？,definition,pass,pass,,,,,,
F-CM-01,no_verifier,Bagging 和 AdaBoost 有什么区别？,comparison,pass,pass,,,,,,
F-CM-02,no_verifier,精确率和召回率有什么区别？,comparison,pass,pass,,,,,,
F-CM-03,no_verifier,均方误差和 R2 分数有什么区别？,comparison,pass,pass,,,,,,
F-CM-04,no_verifier,Ridge 回归和 Lasso 回归有什么区别？,comparison,pass,pass,,,,,,
F-CM-05,no_verifier,KMeans 和 DBSCAN 有什么区别？,comparison,pass,pass,,,,,,
F-PC-01,no_verifier,随机森林为什么更稳定？,principle_pros_cons,pass,pass,,,,,,
F-PC-02,no_verifier,决策树有什么局限？,principle_pros_cons,pass,pass,,,,,,
F-PC-03,no_verifier,支持向量分类为什么通常需要特征缩放？,principle_pros_cons,pass,pass,,,,,,
F-PC-04,no_verifier,DBSCAN 在噪声数据上有什么优势？,principle_pros_cons,pass,pass,,,,,,
F-PC-05,no_verifier,梯度提升有什么局限？,principle_pros_cons,pass,pass,,,,,,
F-MS-01,no_verifier,类别不平衡时应该优先关注哪些指标？,metric_selection,pass,pass,,,,,,
F-MS-02,no_verifier,回归任务通常可以用哪些指标评估？,metric_selection,pass,pass,,,,,,
F-NA-01,no_verifier,如何烤蛋糕？,no_answer,refuse,pass,,,,,,
F-NA-02,no_verifier,XGBoost 如何处理缺失值？,no_answer,refuse,pass,,,,,,
F-NA-03,no_verifier,随机森林的学习率是多少？,no_answer,refuse,pass,,,,,,
F-NA-04,no_verifier,KMeans 是监督分类算法吗？,no_answer,refuse,pass,,,,,,
