relation_id,source_id,relation,target_id,evidence_source_id,evidence_chunk_ids,confidence,review_status,notes
R011,ALG_ADABOOST,BELONGS_TO,FAM_ENSEMBLE,S4,SKL-S4-1_11_ENSEMBLES_GRADIENT_BOOSTING_RANDOM_FORESTS_-001|SKL-S4-1_11_1_2_GRADIENTBOOSTINGCLASSIFIER_AND_GRADIENT-012,0.95,approved,evidence bound from source chunk selection
R012,ALG_GBDT,BELONGS_TO,FAM_ENSEMBLE,S4,SKL-S4-1_11_1_2_GRADIENTBOOSTINGCLASSIFIER_AND_GRADIENT-009|SKL-S4-1_11_1_2_GRADIENTBOOSTINGCLASSIFIER_AND_GRADIENT-012,0.95,approved,evidence bound from source chunk selection
R013,ALG_HGBDT,BELONGS_TO,FAM_ENSEMBLE,S4,SKL-S4-1_11_1_1_HISTOGRAM_BASED_GRADIENT_BOOSTING-004|SKL-S4-1_11_1_2_GRADIENTBOOSTINGCLASSIFIER_AND_GRADIENT-009,0.95,approved,evidence bound from source chunk selection
R014,ALG_KMEANS,BELONGS_TO,FAM_CLUSTER,S5,SKL-S5-2_3_1_OVERVIEW_OF_CLUSTERING_METHODS-002|SKL-S5-2_3_2_K_MEANS-004,0.95,approved,evidence bound from source chunk selection
R015,ALG_DBSCAN,BELONGS_TO,FAM_CLUSTER,S5,SKL-S5-2_3_1_OVERVIEW_OF_CLUSTERING_METHODS-002|SKL-S5-2_3_CLUSTERING-001,0.95,approved,evidence bound from source chunk selection
R016,ALG_AGGLO,BELONGS_TO,FAM_CLUSTER,S5,SKL-S5-2_3_1_OVERVIEW_OF_CLUSTERING_METHODS-002|SKL-S5-2_3_6_HIERARCHICAL_CLUSTERING-012,0.95,approved,evidence bound from source chunk selection
R017,ALG_LINREG,SOLVES,TASK_REG,S1,SKL-S1-1_1_2_1_REGRESSION-005|SKL-S1-1_1_4_MULTI_TASK_LASSO-012,0.95,approved,evidence bound from source chunk selection
R018,ALG_RIDGE,SOLVES,TASK_REG,S1,SKL-S1-1_1_10_1_BAYESIAN_RIDGE_REGRESSION-019|SKL-S1-1_1_2_1_REGRESSION-005,0.95,approved,evidence bound from source chunk selection
R019,ALG_LASSO,SOLVES,TASK_REG,S1,SKL-S1-1_1_4_MULTI_TASK_LASSO-012|SKL-S1-1_1_3_LASSO-008,0.95,approved,evidence bound from source chunk selection
R020,ALG_LOGREG,SOLVES,TASK_CLASS,S1,SKL-S1-1_1_11_LOGISTIC_REGRESSION-021|SKL-S1-1_1_2_2_CLASSIFICATION-006,0.95,approved,evidence bound from source chunk selection
R021,ALG_LINEARSVC,SOLVES,TASK_CLASS,S2,SKL-S2-1_4_SUPPORT_VECTOR_MACHINES-001|SKL-S2-1_4_1_1_MULTI_CLASS_CLASSIFICATION-003,0.95,approved,evidence bound from source chunk selection
R022,ALG_SVC,SOLVES,TASK_CLASS,S2,SKL-S2-1_4_SUPPORT_VECTOR_MACHINES-001|SKL-S2-1_4_1_1_MULTI_CLASS_CLASSIFICATION-003,0.95,approved,evidence bound from source chunk selection
R023,ALG_SVR,SOLVES,TASK_REG,S2,SKL-S2-1_4_SUPPORT_VECTOR_MACHINES-001|SKL-S2-1_4_2_REGRESSION-006,0.95,approved,evidence bound from source chunk selection
R024,ALG_TREE,SOLVES,TASK_CLASS,S3,SKL-S3-1_10_DECISION_TREES-001|SKL-S3-1_10_1_CLASSIFICATION-004,0.95,approved,evidence bound from source chunk selection
R025,ALG_TREE,SOLVES,TASK_REG,S3,SKL-S3-1_10_DECISION_TREES-001|SKL-S3-1_10_2_REGRESSION-005,0.95,approved,evidence bound from source chunk selection
R026,ALG_RF,SOLVES,TASK_CLASS,S4,SKL-S4-1_11_2_1_RANDOM_FORESTS-015|SKL-S4-1_11_2_1_RANDOM_FORESTS-016,0.95,approved,evidence bound from source chunk selection
R027,ALG_RF,SOLVES,TASK_REG,S4,SKL-S4-1_11_2_1_RANDOM_FORESTS-015|SKL-S4-1_11_2_1_RANDOM_FORESTS-016,0.95,approved,evidence bound from source chunk selection
R028,ALG_ADABOOST,SOLVES,TASK_CLASS,S4,SKL-S4-1_11_1_2_GRADIENTBOOSTINGCLASSIFIER_AND_GRADIENT-011|SKL-S4-1_11_1_2_GRADIENTBOOSTINGCLASSIFIER_AND_GRADIENT-012,0.90,approved,evidence bound from source chunk selection
R029,ALG_GBDT,SOLVES,TASK_CLASS,S4,SKL-S4-1_11_1_2_GRADIENTBOOSTINGCLASSIFIER_AND_GRADIENT-011|SKL-S4-1_11_1_2_GRADIENTBOOSTINGCLASSIFIER_AND_GRADIENT-009,0.90,approved,evidence bound from source chunk selection
R030,ALG_GBDT,SOLVES,TASK_REG,S4,SKL-S4-1_11_1_2_GRADIENTBOOSTINGCLASSIFIER_AND_GRADIENT-011|SKL-S4-1_11_1_2_GRADIENTBOOSTINGCLASSIFIER_AND_GRADIENT-009,0.90,approved,evidence bound from source chunk selection
R031,ALG_KMEANS,SOLVES,TASK_CLUSTER,S5,SKL-S5-2_3_1_OVERVIEW_OF_CLUSTERING_METHODS-002|SKL-S5-2_3_2_K_MEANS-003,0.95,approved,evidence bound from source chunk selection
R032,ALG_DBSCAN,SOLVES,TASK_CLUSTER,S5,SKL-S5-2_3_8_2_HIERARCHICAL_CLUSTERING-023|SKL-S5-2_3_5_2_SPECTRAL_CLUSTERING_GRAPHS-011,0.95,approved,evidence bound from source chunk selection
R033,ALG_AGGLO,SOLVES,TASK_CLUSTER,S5,SKL-S5-2_3_6_HIERARCHICAL_CLUSTERING-012|SKL-S5-2_3_5_2_SPECTRAL_CLUSTERING_GRAPHS-011,0.95,approved,evidence bound from source chunk selection
R034,ALG_RIDGE,USES,CON_REG,S1,SKL-S1-1_1_10_1_BAYESIAN_RIDGE_REGRESSION-019|SKL-S1-1_1_2_1_REGRESSION-005,0.95,approved,evidence bound from source chunk selection
R035,ALG_LASSO,USES,CON_REG,S1,SKL-S1-1_1_3_LASSO-008|SKL-S1-1_1_3_2_SETTING_REGULARIZATION_PARAMETER-010,0.95,approved,evidence bound from source chunk selection
R036,ALG_LOGREG,USES,CON_REG,S1,SKL-S1-1_1_11_LOGISTIC_REGRESSION-021|SKL-S1-1_1_11_3_SOLVERS-024,0.90,approved,evidence bound from source chunk selection
R037,ALG_SVC,USES,CON_KERNEL,S2,SKL-S2-1_4_SUPPORT_VECTOR_MACHINES-001|SKL-S2-1_4_1_CLASSIFICATION-002,0.95,approved,evidence bound from source chunk selection
R038,ALG_SVC,USES,CON_MARGIN,S2,SKL-S2-1_4_1_CLASSIFICATION-002|SKL-S2-1_4_SUPPORT_VECTOR_MACHINES-001,0.90,approved,evidence bound from source chunk selection
R039,ALG_SVR,USES,CON_KERNEL,S2,SKL-S2-1_4_SUPPORT_VECTOR_MACHINES-001|SKL-S2-1_4_2_REGRESSION-006,0.95,approved,evidence bound from source chunk selection
R040,ALG_LINEARSVC,USES,CON_MARGIN,S2,SKL-S2-1_4_1_CLASSIFICATION-002|SKL-S2-1_4_SUPPORT_VECTOR_MACHINES-001,0.85,approved,evidence bound from source chunk selection
R041,ALG_TREE,USES,CON_INTERPRET,S3,SKL-S3-1_10_DECISION_TREES-001|SKL-S3-1_10_DECISION_TREES-002,0.80,approved,evidence bound from source chunk selection
R042,ALG_RF,USES,ALG_TREE,S4,SKL-S4-1_11_2_1_RANDOM_FORESTS-015|SKL-S4-1_11_2_RANDOM_FORESTS_AND_OTHER_RANDOMIZED_TREE_-014,0.95,approved,evidence bound from source chunk selection
R043,ALG_RF,USES,TECH_BOOTSTRAP,S4,SKL-S4-1_11_2_1_RANDOM_FORESTS-015|SKL-S4-1_11_2_1_RANDOM_FORESTS-016,0.95,approved,evidence bound from source chunk selection
R044,ALG_RF,USES,TECH_FEATURE_SUBSAMPLE,S4,SKL-S4-1_11_2_1_RANDOM_FORESTS-015|SKL-S4-1_11_1_2_GRADIENTBOOSTINGCLASSIFIER_AND_GRADIENT-012,0.90,approved,evidence bound from source chunk selection
R045,ALG_BAGGING,USES,TECH_BOOTSTRAP,S4,SKL-S4-1_11_3_BAGGING_META_ESTIMATOR-023|SKL-S4-1_11_1_2_GRADIENTBOOSTINGCLASSIFIER_AND_GRADIENT-013,0.95,approved,evidence bound from source chunk selection
R046,ALG_KMEANS,USES,CON_VARIANCE,S5,SKL-S5-2_3_2_K_MEANS-003|SKL-S5-2_3_2_2_MINI_BATCH_K_MEANS-006,0.60,approved,evidence bound from source chunk selection
R047,ALG_DBSCAN,HAS_ADVANTAGE,PROB_NOISE,S5,SKL-S5-2_3_7_DBSCAN-020|SKL-S5-2_3_8_2_HIERARCHICAL_CLUSTERING-023,0.65,approved,evidence bound from source chunk selection
R048,ALG_SVC,REQUIRES,TECH_SCALING,S2,SKL-S2-1_4_1_CLASSIFICATION-002|SKL-S2-1_4_SUPPORT_VECTOR_MACHINES-001,0.90,approved,evidence bound from source chunk selection
R049,ALG_SVR,REQUIRES,TECH_SCALING,S2,SKL-S2-1_4_2_REGRESSION-006|SKL-S2-1_4_SUPPORT_VECTOR_MACHINES-001,0.90,approved,evidence bound from source chunk selection
R050,ALG_LINEARSVC,REQUIRES,TECH_SCALING,S2,SKL-S2-1_4_1_CLASSIFICATION-002|SKL-S2-1_4_SUPPORT_VECTOR_MACHINES-001,0.85,approved,evidence bound from source chunk selection
R051,ALG_KMEANS,REQUIRES,TECH_SCALING,S5,SKL-S5-2_3_2_2_MINI_BATCH_K_MEANS-006|SKL-S5-2_3_2_K_MEANS-003,0.90,approved,evidence bound from source chunk selection
R052,ALG_LOGREG,REQUIRES,TECH_SCALING,S1,SKL-S1-1_1_11_LOGISTIC_REGRESSION-021|SKL-S1-1_1_11_3_SOLVERS-024,0.70,approved,evidence bound from source chunk selection
R053,ALG_TREE,HAS_LIMITATION,PROB_OVERFIT,S3,SKL-S3-1_10_DECISION_TREES-002|SKL-S3-1_10_DECISION_TREES-001,0.95,approved,evidence bound from source chunk selection
R054,ALG_TREE,HAS_ADVANTAGE,CON_INTERPRET,S3,SKL-S3-1_10_DECISION_TREES-002|SKL-S3-1_10_DECISION_TREES-001,0.95,approved,evidence bound from source chunk selection
R055,ALG_RF,HAS_ADVANTAGE,CON_VARIANCE,S4,SKL-S4-1_11_2_1_RANDOM_FORESTS-015|SKL-S4-1_11_2_1_RANDOM_FORESTS-016,0.90,approved,evidence bound from source chunk selection
R056,ALG_RF,HAS_ADVANTAGE,PROB_NOISE,S4,SKL-S4-1_11_2_1_RANDOM_FORESTS-015|SKL-S4-1_11_2_1_RANDOM_FORESTS-016,0.65,approved,evidence bound from source chunk selection
R057,ALG_RF,HAS_LIMITATION,CON_INTERPRET,S4,SKL-S4-1_11_2_1_RANDOM_FORESTS-015|SKL-S4-1_11_2_1_RANDOM_FORESTS-016,0.70,approved,evidence bound from source chunk selection
R058,ALG_BAGGING,HAS_ADVANTAGE,CON_VARIANCE,S4,SKL-S4-1_11_3_BAGGING_META_ESTIMATOR-023|SKL-S4-1_11_3_BAGGING_META_ESTIMATOR-024,0.85,approved,evidence bound from source chunk selection
R059,ALG_ADABOOST,HAS_LIMITATION,PROB_NOISE,S4,SKL-S4-1_11_1_2_GRADIENTBOOSTINGCLASSIFIER_AND_GRADIENT-012|SKL-S4-1_11_1_2_GRADIENTBOOSTINGCLASSIFIER_AND_GRADIENT-009,0.75,approved,evidence bound from source chunk selection
R060,ALG_GBDT,HAS_ADVANTAGE,CON_BIAS,S4,SKL-S4-1_11_1_2_GRADIENTBOOSTINGCLASSIFIER_AND_GRADIENT-012|SKL-S4-1_11_1_2_GRADIENTBOOSTINGCLASSIFIER_AND_GRADIENT-011,0.80,approved,evidence bound from source chunk selection
R061,ALG_GBDT,HAS_LIMITATION,PROB_OVERFIT,S4,SKL-S4-1_11_1_2_GRADIENTBOOSTINGCLASSIFIER_AND_GRADIENT-009|SKL-S4-1_11_1_2_GRADIENTBOOSTINGCLASSIFIER_AND_GRADIENT-010,0.80,approved,evidence bound from source chunk selection
R062,ALG_SVC,HAS_ADVANTAGE,PROB_HIGHDIM,S2,SKL-S2-1_4_SUPPORT_VECTOR_MACHINES-001|SKL-S2-1_4_1_1_MULTI_CLASS_CLASSIFICATION-003,0.90,approved,evidence bound from source chunk selection
R063,ALG_SVC,HAS_LIMITATION,PROB_NOISE,S2,SKL-S2-1_4_SUPPORT_VECTOR_MACHINES-001|SKL-S2-1_4_1_1_MULTI_CLASS_CLASSIFICATION-003,0.70,approved,evidence bound from source chunk selection
R064,ALG_LASSO,HAS_ADVANTAGE,CON_INTERPRET,S1,SKL-S1-1_1_3_LASSO-008|SKL-S1-1_1_7_LEAST_ANGLE_REGRESSION-015,0.75,approved,evidence bound from source chunk selection
R065,ALG_RIDGE,HAS_ADVANTAGE,PROB_NOISE,S1,SKL-S1-1_1_10_1_BAYESIAN_RIDGE_REGRESSION-019|SKL-S1-1_1_7_LEAST_ANGLE_REGRESSION-015,0.70,approved,evidence bound from source chunk selection
R066,ALG_DBSCAN,HAS_ADVANTAGE,PROB_NOISE,S5,SKL-S5-2_3_7_DBSCAN-020|SKL-S5-2_3_8_2_HIERARCHICAL_CLUSTERING-023,0.70,approved,evidence bound from source chunk selection
R067,ALG_DBSCAN,HAS_LIMITATION,PROB_HIGHDIM,S5,SKL-S5-2_3_7_DBSCAN-020|SKL-S5-2_3_8_2_HIERARCHICAL_CLUSTERING-023,0.65,approved,evidence bound from source chunk selection
R068,TECH_PRUNING,MITIGATES,PROB_OVERFIT,S3,SKL-S3-1_10_DECISION_TREES-002|SKL-S3-1_10_6_TREE_ALGORITHMS_ID3_C4_5_C5_0_AND_CART-011,0.95,approved,evidence bound from source chunk selection
R069,TECH_CV,MITIGATES,PROB_OVERFIT,S6,SKL-S6-3_4_6_1_R_SCORE_THE_COEFFICIENT_OF_DETERMINATION-044|SKL-S6-3_4_2_SCORING_API_OVERVIEW-003,0.75,approved,evidence bound from source chunk selection
R070,TECH_BOOTSTRAP,HAS_ADVANTAGE,CON_VARIANCE,S4,SKL-S4-1_11_2_1_RANDOM_FORESTS-015|SKL-S4-1_11_2_3_PARAMETERS-018,0.80,approved,evidence bound from source chunk selection
R071,ALG_RF,MITIGATES,PROB_OVERFIT,S4,SKL-S4-1_11_2_1_RANDOM_FORESTS-015|SKL-S4-1_11_2_1_RANDOM_FORESTS-016,0.70,approved,evidence bound from source chunk selection
R072,ALG_RIDGE,MITIGATES,PROB_OVERFIT,S1,SKL-S1-1_1_10_1_BAYESIAN_RIDGE_REGRESSION-019|SKL-S1-1_1_2_1_REGRESSION-005,0.80,approved,evidence bound from source chunk selection
R073,ALG_LASSO,MITIGATES,PROB_OVERFIT,S1,SKL-S1-1_1_3_LASSO-008|SKL-S1-1_1_11_LOGISTIC_REGRESSION-021,0.80,approved,evidence bound from source chunk selection
R074,TASK_CLASS,EVALUATED_BY,MET_ACC,S6,SKL-S6-3_4_4_4_BALANCED_ACCURACY_SCORE-014|SKL-S6-3_4_4_CLASSIFICATION_METRICS-009,0.95,approved,evidence bound from source chunk selection
R075,TASK_CLASS,EVALUATED_BY,MET_BALACC,S6,SKL-S6-3_4_4_4_BALANCED_ACCURACY_SCORE-014|SKL-S6-3_4_4_4_BALANCED_ACCURACY_SCORE-015,0.95,approved,evidence bound from source chunk selection
R076,TASK_CLASS,EVALUATED_BY,MET_PREC,S6,SKL-S6-3_4_4_9_PRECISION_RECALL_AND_F_MEASURES-021|SKL-S6-3_4_4_CLASSIFICATION_METRICS-009,0.95,approved,evidence bound from source chunk selection
R077,TASK_CLASS,EVALUATED_BY,MET_REC,S6,SKL-S6-3_4_4_9_PRECISION_RECALL_AND_F_MEASURES-021|SKL-S6-3_4_4_CLASSIFICATION_METRICS-009,0.95,approved,evidence bound from source chunk selection
R078,TASK_CLASS,EVALUATED_BY,MET_F1,S6,SKL-S6-3_4_4_CLASSIFICATION_METRICS-009|SKL-S6-3_4_4_20_D_SCORE_FOR_CLASSIFICATION-036,0.95,approved,evidence bound from source chunk selection
R079,TASK_CLASS,EVALUATED_BY,MET_ROCAUC,S6,SKL-S6-3_4_4_CLASSIFICATION_METRICS-009|SKL-S6-3_4_4_15_RECEIVER_OPERATING_CHARACTERISTIC_ROC-028,0.95,approved,evidence bound from source chunk selection
R080,TASK_REG,EVALUATED_BY,MET_MSE,S6,SKL-S6-3_4_6_3_MEAN_SQUARED_ERROR-046|SKL-S6-3_4_6_2_MEAN_ABSOLUTE_ERROR-045,0.95,approved,evidence bound from source chunk selection
R081,TASK_REG,EVALUATED_BY,MET_R2,S6,SKL-S6-3_4_6_1_R_SCORE_THE_COEFFICIENT_OF_DETERMINATION-044|SKL-S6-3_4_4_10_JACCARD_SIMILARITY_COEFFICIENT_SCORE-023,0.95,approved,evidence bound from source chunk selection
R082,TASK_CLUSTER,EVALUATED_BY,MET_SIL,S5,SKL-S5-2_3_11_2_MUTUAL_INFORMATION_BASED_SCORES-033|SKL-S5-2_3_11_2_MUTUAL_INFORMATION_BASED_SCORES-034,0.95,approved,evidence bound from source chunk selection
R083,ALG_LOGREG,EVALUATED_BY,MET_ROCAUC,S6,SKL-S6-3_4_4_15_RECEIVER_OPERATING_CHARACTERISTIC_ROC-028|SKL-S6-3_4_4_CLASSIFICATION_METRICS-009,0.80,approved,evidence bound from source chunk selection
R084,ALG_LOGREG,EVALUATED_BY,MET_F1,S6,SKL-S6-3_4_3_1_STRING_NAME_SCORERS-005|SKL-S6-3_4_2_SCORING_API_OVERVIEW-003,0.80,approved,evidence bound from source chunk selection
R085,ALG_KMEANS,EVALUATED_BY,MET_SIL,S5,SKL-S5-2_3_2_K_MEANS-003|SKL-S5-2_3_11_4_FOWLKES_MALLOWS_SCORES-038,0.90,approved,evidence bound from source chunk selection
R086,MET_ACC,HAS_LIMITATION,PROB_IMBALANCE,S6,SKL-S6-3_4_4_4_BALANCED_ACCURACY_SCORE-014|SKL-S6-3_4_4_19_CLASS_LIKELIHOOD_RATIOS-034,0.95,approved,evidence bound from source chunk selection
R087,MET_BALACC,HAS_ADVANTAGE,PROB_IMBALANCE,S6,SKL-S6-3_4_4_4_BALANCED_ACCURACY_SCORE-014|SKL-S6-3_4_4_4_BALANCED_ACCURACY_SCORE-015,0.90,approved,evidence bound from source chunk selection
R088,MET_F1,HAS_ADVANTAGE,PROB_IMBALANCE,S6,SKL-S6-3_4_4_1_FROM_BINARY_TO_MULTICLASS_AND_MULTILABEL-010|SKL-S6-3_4_4_4_BALANCED_ACCURACY_SCORE-014,0.85,approved,evidence bound from source chunk selection
R089,MET_PREC,DIFFERS_FROM,MET_REC,S6,SKL-S6-3_4_4_9_PRECISION_RECALL_AND_F_MEASURES-021|SKL-S6-3_4_4_9_PRECISION_RECALL_AND_F_MEASURES-020,0.90,approved,evidence bound from source chunk selection
R090,MET_MSE,DIFFERS_FROM,MET_R2,S6,SKL-S6-3_4_6_1_R_SCORE_THE_COEFFICIENT_OF_DETERMINATION-044|SKL-S6-3_4_6_3_MEAN_SQUARED_ERROR-046,0.85,approved,evidence bound from source chunk selection
R091,ALG_BAGGING,DIFFERS_FROM,ALG_ADABOOST,S4,SKL-S4-1_11_ENSEMBLES_GRADIENT_BOOSTING_RANDOM_FORESTS_-001|SKL-S4-1_11_1_2_GRADIENTBOOSTINGCLASSIFIER_AND_GRADIENT-012,0.90,approved,evidence bound from source chunk selection
R092,ALG_BAGGING,DIFFERS_FROM,ALG_GBDT,S4,SKL-S4-1_11_1_2_GRADIENTBOOSTINGCLASSIFIER_AND_GRADIENT-012|SKL-S4-1_11_1_2_GRADIENTBOOSTINGCLASSIFIER_AND_GRADIENT-013,0.90,approved,evidence bound from source chunk selection
R093,ALG_ADABOOST,DIFFERS_FROM,ALG_GBDT,S4,SKL-S4-1_11_1_2_GRADIENTBOOSTINGCLASSIFIER_AND_GRADIENT-012|SKL-S4-1_11_1_2_GRADIENTBOOSTINGCLASSIFIER_AND_GRADIENT-009,0.80,approved,evidence bound from source chunk selection
R094,ALG_RIDGE,DIFFERS_FROM,ALG_LASSO,S1,SKL-S1-1_1_10_1_BAYESIAN_RIDGE_REGRESSION-019|SKL-S1-1_1_3_LASSO-008,0.90,approved,evidence bound from source chunk selection
R095,ALG_LINEARSVC,DIFFERS_FROM,ALG_SVC,S2,SKL-S2-1_4_1_1_MULTI_CLASS_CLASSIFICATION-003|SKL-S2-1_4_1_CLASSIFICATION-002,0.85,approved,evidence bound from source chunk selection
R096,ALG_KMEANS,DIFFERS_FROM,ALG_DBSCAN,S5,SKL-S5-2_3_6_5_BISECTING_K_MEANS-017|SKL-S5-2_3_7_DBSCAN-020,0.90,approved,evidence bound from source chunk selection
R097,ALG_DBSCAN,DIFFERS_FROM,ALG_AGGLO,S5,SKL-S5-2_3_7_DBSCAN-020|SKL-S5-2_3_6_HIERARCHICAL_CLUSTERING-012,0.80,approved,evidence bound from source chunk selection
R098,ALG_LOGREG,MITIGATES,PROB_OVERFIT,S1,SKL-S1-1_1_11_LOGISTIC_REGRESSION-021|SKL-S1-1_1_10_1_BAYESIAN_RIDGE_REGRESSION-019,0.75,approved,evidence bound from source chunk selection
R099,TECH_SCALING,MITIGATES,PROB_HIGHDIM,S2,SKL-S2-1_4_SUPPORT_VECTOR_MACHINES-001|SKL-S2-1_4_5_TIPS_ON_PRACTICAL_USE-010,0.60,approved,evidence bound from source chunk selection
R100,ALG_HGBDT,HAS_ADVANTAGE,CON_VARIANCE,S4,SKL-S4-1_11_1_1_HISTOGRAM_BASED_GRADIENT_BOOSTING-005|SKL-S4-1_11_1_1_HISTOGRAM_BASED_GRADIENT_BOOSTING-003,0.70,approved,evidence bound from source chunk selection
