review_item_id,answer_correctness,evidence_faithfulness,hallucination,over_refusal,readability,review_notes
X-PC-01-C,1,1,1,0,3,regularization point is supported but noise robustness is not direct
X-PC-01-D,1,2,0,0,3,addresses overfit only and omits noise robustness
X-PC-02-A,1,1,1,0,3,noise concern is plausible but the weak-learner claim is not directly supported
X-PC-02-B,1,1,0,0,3,mentions the limitation but does not explain its mechanism
X-PC-02-C,1,1,0,0,4,states the noise limitation without explaining why
X-PC-02-D,0,,,1,,over-refusal on answerable question
X-PC-03-A,1,2,0,0,3,lists scaling cases but does not explain the training mechanism
X-PC-03-B,0,,,1,,over-refusal on answerable question
X-PC-03-C,2,2,0,0,5,complete mechanism explanation
X-PC-03-D,0,,,1,,over-refusal on answerable question
X-MS-01-A,1,2,0,0,4,defines both metrics but gives no priority recommendation
X-MS-01-B,0,,,1,,over-refusal on answerable question
X-MS-01-C,0,1,1,0,,gives the wrong priority and cited evidence only defines metrics
X-MS-01-D,0,,,1,,over-refusal on answerable question
X-MS-02-A,0,,,1,,over-refusal on answerable question
X-MS-02-B,2,2,0,0,5,correct F1 explanation
X-MS-02-C,0,,,1,,over-refusal on answerable question
X-MS-02-D,0,2,0,0,,precision detail is supported but irrelevant
X-NA-01-A,2,,,0,,correct refusal for out-of-scope question
X-NA-01-B,2,,,0,,correct refusal for out-of-scope question
X-NA-01-C,2,,,0,,correct refusal for out-of-scope question
X-NA-01-D,2,,,0,,correct refusal for out-of-scope question
X-NA-02-A,2,,,0,,correct refusal for out-of-scope question
X-NA-02-B,0,0,1,0,,unsupported substantive answer outside the corpus
X-NA-02-C,2,,,0,,correct refusal for out-of-scope question
X-NA-02-D,2,,,0,,correct refusal for out-of-scope question
X-NA-03-A,1,1,0,0,2,signals missing attribute evidence but does not clearly refuse
X-NA-03-B,0,1,0,0,,repeats the unsupported attribute question
X-NA-03-C,1,2,0,0,3,corrects the entity context but does not deny the requested attribute
X-NA-03-D,2,,,0,,clear refusal for nonexistent attribute
X-NA-04-A,2,,,0,,correct refusal for false or unsupported premise
X-NA-04-B,1,2,0,0,3,provides related facts but does not explicitly reject the premise
X-NA-04-C,1,2,0,0,3,provides the clustering fact but does not reject regression use
X-NA-04-D,1,2,0,0,3,states both task facts but does not explicitly reject the premise
